location,size,room_type,distance_to_uva,furnished,registration_possible,price_per_sqm,distance_category,size_category
2,23,1,4.31,0,0,34.64086956521739,0,1
2,71,2,2.73,0,0,21.516338028169017,0,3
3,54,2,8.45,0,1,22.901481481481483,2,0
3,57,0,11.19,1,1,21.31614035087719,1,0
5,73,2,13.02,1,0,20.450273972602737,1,3
1,71,1,2.24,1,1,21.82154929577465,0,3
5,25,0,1.44,0,0,33.525999999999996,3,1
4,76,1,5.89,1,1,21.552894736842106,2,3
4,61,0,4.12,1,0,22.921475409836066,0,3
3,92,1,2.88,1,1,19.215760869565216,0,3
3,49,0,1.76,0,1,23.554285714285715,3,0
5,84,1,3.84,0,0,16.242142857142856,0,3
1,73,0,10.47,0,1,22.563835616438357,1,3
1,39,0,11.08,1,0,31.100512820512822,1,1
0,80,0,4.62,1,0,20.90975,0,3
4,69,1,10.23,1,0,19.919275362318842,1,3
0,73,2,7.03,0,0,19.64232876712329,2,3
5,71,0,6.86,1,1,22.96845070422535,2,3
2,63,2,11.43,1,1,23.666984126984126,1,3
2,89,1,10.77,0,0,14.095955056179776,1,3
5,78,2,14.74,0,1,19.83628205128205,1,3
1,98,0,10.24,1,1,17.78173469387755,1,3
5,54,0,4.89,0,1,27.924814814814816,0,0
3,74,2,6.96,1,0,22.07837837837838,2,3
4,26,0,5.14,0,0,39.96769230769231,2,1
0,65,1,5.65,0,1,22.43630769230769,2,3
0,86,1,1.36,0,1,20.78511627906977,3,3
0,49,2,2.32,0,1,35.36469387755102,0,0
1,37,0,6.0,1,1,37.472162162162164,2,1
2,86,2,13.58,1,0,18.330581395348837,1,3
2,58,2,8.14,1,1,22.569310344827585,2,0
1,47,1,10.3,0,1,24.122340425531913,1,0
3,86,2,5.74,1,1,20.06755813953488,2,3
5,76,1,2.91,0,1,19.399342105263155,0,3
5,53,0,3.86,1,0,25.755849056603772,0,0
2,38,0,8.46,1,0,27.186842105263157,2,1
2,39,1,7.27,0,0,23.81102564102564,2,1
0,19,1,7.1,1,1,58.75631578947368,2,2
0,82,0,8.43,1,0,22.654756097560977,2,3
5,65,2,9.61,1,0,23.729076923076924,2,3
2,34,1,13.92,0,1,26.67735294117647,1,1
1,47,2,10.46,0,0,31.278085106382978,1,0
5,61,2,12.05,0,1,23.218196721311475,1,3
5,95,0,5.32,0,1,17.813052631578948,2,3
4,18,1,7.77,1,1,55.27333333333333,2,2
4,76,2,3.74,1,1,24.35447368421053,0,3
3,97,0,6.48,1,1,18.02164948453608,2,3
0,59,0,2.38,0,1,25.98542372881356,0,0
3,29,1,7.14,0,1,30.142758620689655,2,1
2,77,1,0.98,0,1,19.044675324675325,3,3
0,54,1,3.22,1,1,25.10462962962963,0,0
3,86,0,11.55,1,1,18.593255813953487,1,3
2,73,2,11.13,0,0,16.72164383561644,1,3
1,98,2,9.82,0,1,19.36408163265306,2,3
4,21,1,13.83,0,0,40.13095238095238,1,1
4,93,0,7.43,0,1,16.449032258064516,2,3
3,66,0,13.05,1,1,20.973333333333333,1,3
3,76,2,1.99,1,1,22.123684210526317,3,3
3,43,1,3.07,0,1,27.95860465116279,0,0
5,90,2,12.19,1,0,17.34088888888889,1,3
2,54,0,2.11,1,1,21.787222222222223,0,0
0,70,2,9.38,1,1,25.701857142857143,2,3
1,30,1,2.74,0,1,35.010999999999996,0,1
0,22,2,13.7,0,1,58.5140909090909,1,1
0,80,2,8.22,1,1,23.383875,2,3
2,73,2,2.7,0,1,19.439999999999998,0,3
5,63,2,14.74,1,0,22.363968253968256,1,3
0,61,1,14.87,1,1,23.55131147540984,1,3
5,45,2,3.21,0,1,28.52177777777778,0,0
4,27,1,2.89,1,0,48.175925925925924,0,1
0,51,2,7.86,0,0,27.371960784313725,2,0
5,73,0,4.36,1,0,24.162602739726026,0,3
1,42,1,8.96,0,1,23.18452380952381,2,0
0,49,1,1.14,1,1,27.123061224489796,3,0
1,31,0,1.39,1,0,43.94225806451613,3,1
0,19,2,8.55,1,0,72.9478947368421,2,2
5,69,1,10.94,0,1,18.408840579710144,1,3
5,62,1,14.08,1,1,20.65225806451613,1,3
0,68,2,9.89,1,1,24.733676470588236,2,3
4,59,0,2.22,1,1,26.248813559322034,0,0
3,20,0,10.57,0,1,47.761,1,2
3,67,2,12.78,0,1,20.350298507462686,1,3
1,83,0,3.14,0,0,18.709518072289157,0,3
3,23,0,1.02,1,1,42.30217391304348,3,1
1,46,1,12.44,1,1,28.767391304347825,1,0
2,40,2,5.63,0,1,30.764999999999997,2,1
5,59,1,11.94,1,1,24.222203389830508,1,0
4,42,2,0.53,0,1,33.385238095238094,3,0
4,81,1,8.77,1,0,18.675555555555555,2,3
0,33,1,11.59,1,1,33.985757575757575,1,1
4,96,2,8.15,1,1,19.126041666666666,2,3
0,52,2,15.0,0,0,25.9575,1,0
1,53,0,6.9,0,1,28.34943396226415,2,0
5,63,2,10.93,1,1,24.671746031746032,1,3
2,52,0,2.95,1,1,25.90903846153846,0,0
0,18,0,7.4,0,0,52.19722222222222,2,2
0,70,2,14.19,1,0,22.911,1,3
0,24,2,2.42,1,0,62.615,0,1
0,18,1,11.51,0,1,61.93111111111111,1,2
1,37,2,6.15,0,0,36.20648648648649,2,1
1,83,1,13.47,1,1,18.112289156626506,1,3
2,78,2,6.94,1,0,19.768076923076926,2,3
1,22,0,0.58,0,1,56.059090909090905,3,1
3,25,2,7.63,0,0,42.278400000000005,2,1
1,25,2,2.92,1,1,44.3552,0,1
5,72,1,7.93,0,1,18.312083333333334,2,3
2,74,0,5.07,1,0,18.14418918918919,2,3
4,61,2,1.94,0,0,21.508852459016392,3,3
5,71,0,8.67,1,0,21.38605633802817,2,3
0,34,2,1.53,1,0,48.17588235294118,3,1
0,53,2,6.47,1,1,29.41188679245283,2,0
0,39,2,12.65,0,1,40.53666666666667,1,1
2,21,0,11.82,0,1,46.09285714285714,1,1
0,82,0,7.15,0,0,17.93780487804878,2,3
3,74,2,14.88,1,0,20.298513513513512,1,3
4,17,1,3.34,1,1,55.93764705882353,0,2
4,60,1,11.31,1,1,20.240333333333336,1,0
4,19,2,14.14,1,1,64.00842105263159,1,2
4,15,0,7.54,0,1,65.57866666666666,2,2
2,61,1,14.83,0,1,16.50016393442623,1,3
5,33,1,2.03,0,1,35.39272727272727,0,1
3,50,2,3.69,0,1,29.2436,0,0
3,74,1,3.68,0,0,15.444729729729731,0,3
4,83,2,11.82,1,0,18.042168674698797,1,3
5,82,0,10.17,1,1,18.986951219512196,1,3
2,15,2,7.67,0,0,65.42266666666667,2,2
2,97,0,5.73,0,1,15.739072164948453,2,3
1,40,1,0.55,1,1,31.6045,3,1
5,37,2,13.7,1,1,36.33378378378378,1,1
3,58,2,5.33,1,1,26.19,2,0
0,36,1,11.02,1,1,34.33694444444445,1,1
1,40,0,10.32,1,1,37.24725,1,1
4,27,0,10.14,1,0,43.33259259259259,1,1
2,59,2,9.85,0,1,22.84406779661017,2,0
0,86,0,1.69,1,1,23.22081395348837,3,3
1,76,1,1.05,0,0,17.467894736842105,3,3
4,27,0,11.01,0,1,38.47222222222222,1,1
3,92,2,11.57,0,1,17.406086956521737,1,3
3,42,2,2.0,1,1,34.676904761904765,3,0
1,89,2,11.57,1,1,20.470337078651685,1,3
1,71,0,11.99,1,1,22.673521126760562,1,3
2,37,0,7.99,0,0,30.972162162162164,2,1
4,19,2,4.37,0,1,59.24210526315789,0,2
3,75,0,1.84,1,1,19.812933333333334,3,3
0,34,0,6.22,0,0,36.11970588235294,2,1
4,15,0,2.47,1,0,72.94466666666668,0,2
2,73,2,13.23,0,0,18.314383561643837,1,3
3,38,0,11.48,1,1,30.704736842105262,1,1
4,21,2,12.78,0,0,52.63095238095238,1,1
4,52,1,7.48,1,1,22.178653846153846,2,0
0,55,0,6.25,0,1,26.073636363636364,2,0
0,61,2,7.23,1,1,28.524426229508197,2,3
3,34,2,1.84,0,1,39.410000000000004,3,1
3,20,2,6.99,1,0,56.053999999999995,2,2
2,95,1,14.58,1,1,16.358,1,3
3,44,2,5.07,0,1,32.642272727272726,2,0
0,58,1,7.01,0,1,26.175689655172416,2,0
0,16,1,6.23,0,0,55.026875,2,2
2,31,2,4.21,0,1,31.396774193548385,0,1
5,77,1,7.49,1,0,17.614415584415585,2,3
2,54,1,5.0,0,1,21.082222222222224,0,0
5,35,1,13.66,1,0,37.336571428571425,1,1
1,54,1,5.46,1,1,23.01962962962963,2,0
0,28,2,10.0,1,1,45.8675,2,1
1,84,2,2.38,1,1,21.405119047619046,0,3
1,23,1,12.38,0,1,39.866956521739134,1,1
3,51,1,12.93,1,0,24.284901960784314,1,0
0,15,2,6.29,1,1,78.40133333333333,2,2
1,25,0,4.78,1,0,45.248000000000005,0,1
3,57,2,3.7,1,1,25.038771929824563,0,0
2,66,2,13.22,1,0,20.967575757575755,1,3
2,83,1,6.59,0,0,14.938192771084337,2,3
0,47,2,4.71,1,1,31.785106382978725,0,0
1,63,0,8.16,0,0,22.201904761904764,2,3
4,82,2,10.31,0,1,18.31512195121951,1,3
3,44,2,2.18,0,1,30.378863636363636,0,0
2,68,2,2.9,0,1,17.749411764705883,0,3
3,96,0,6.32,0,0,16.498437499999998,2,3
3,39,1,6.03,0,0,26.62871794871795,2,1
0,55,1,14.0,1,1,29.93490909090909,1,0
1,69,2,8.67,1,1,22.96463768115942,2,3
2,26,1,2.52,1,1,39.92846153846154,0,1
5,76,2,1.26,1,1,25.58421052631579,3,3
5,20,0,2.35,0,1,59.678,0,2
0,29,2,3.79,1,0,51.84758620689655,0,1
0,30,0,10.62,1,0,39.49933333333333,1,1
5,36,0,11.53,0,0,28.165833333333335,1,1
3,24,1,14.62,0,1,33.237500000000004,1,1
1,53,1,14.24,1,0,25.629433962264148,1,0
3,63,2,14.31,1,1,26.275555555555552,1,3
3,89,1,10.32,0,0,15.922921348314608,1,3
5,43,1,9.18,1,1,29.140697674418604,2,0
1,52,1,5.18,0,1,26.13346153846154,2,0
0,58,1,6.94,1,1,22.606206896551726,2,0
4,43,2,7.36,0,0,28.256511627906978,2,0
2,42,0,3.59,1,0,28.907857142857146,0,0
5,46,0,11.11,1,1,25.192391304347826,1,0
3,89,1,12.17,1,0,15.489325842696628,1,3
4,70,0,11.37,0,0,18.917857142857144,1,3
4,33,0,12.39,0,0,30.196363636363635,1,1
2,73,1,8.61,1,0,19.446986301369865,2,3
2,68,0,13.4,0,0,18.131764705882354,1,3
3,81,2,5.04,0,1,20.20172839506173,2,3
5,90,2,3.46,1,1,19.91277777777778,0,3
5,52,1,11.09,1,0,24.996923076923075,1,0
4,65,1,0.89,0,1,22.27215384615385,3,3
0,38,0,5.23,0,1,35.13842105263158,2,1
5,17,2,2.38,0,0,74.63176470588235,0,2
5,44,1,9.3,0,1,26.33113636363636,2,0
4,50,0,4.09,0,1,24.358600000000003,0,0
3,69,1,4.32,0,1,19.90623188405797,0,3
0,61,0,8.46,1,1,25.657704918032785,2,3
2,68,1,10.37,1,1,16.378529411764706,1,3
2,16,2,13.64,0,1,57.2925,1,2
4,62,1,6.1,0,0,17.688870967741938,2,3
3,89,0,3.34,1,0,17.46325842696629,0,3
0,35,0,1.19,1,1,43.68457142857143,3,1
0,60,1,13.6,1,0,23.68166666666667,1,0
5,86,2,12.49,0,1,19.55953488372093,1,3
5,25,2,7.63,0,0,45.9812,2,1
0,28,0,8.69,1,0,47.11928571428571,2,1
3,68,2,6.84,0,0,20.77823529411765,2,3
3,33,0,12.92,1,1,32.10666666666667,1,1
1,52,0,0.86,0,1,26.601923076923075,3,0
4,77,1,14.33,1,1,18.168441558441558,1,3
1,94,1,0.65,0,0,17.58436170212766,3,3
5,53,0,4.51,0,1,25.489622641509435,0,0
3,83,1,14.86,0,0,15.085542168674698,1,3
5,90,2,9.61,1,1,19.93433333333333,2,3
3,70,2,5.29,1,0,22.409428571428574,2,3
4,69,0,3.63,0,1,20.283768115942028,0,3
3,43,0,10.48,1,1,31.68046511627907,1,0
2,73,1,2.11,1,0,18.163835616438355,0,3
1,65,0,8.21,1,1,27.112615384615385,2,3
5,80,2,5.03,0,1,21.538375,2,3
4,81,2,10.76,0,1,18.621604938271602,1,3
0,21,1,9.14,0,1,46.47142857142857,2,1
4,34,1,12.11,0,0,31.110294117647058,1,1
4,19,1,9.94,0,1,46.07,2,2
5,79,1,3.25,0,1,17.712151898734177,0,3
4,51,0,3.9,1,1,26.269803921568627,0,0
1,77,0,6.0,1,1,22.419090909090908,2,3
4,52,1,6.27,1,1,23.907500000000002,2,0
3,56,1,14.26,1,1,21.580178571428572,1,0
0,60,1,2.49,0,0,25.177500000000002,0,0
0,81,0,8.9,1,0,24.001975308641978,2,3
2,29,0,9.71,1,1,41.103793103448275,2,1
2,50,2,8.08,1,1,30.9832,2,0
2,89,1,10.63,0,1,13.200449438202247,1,3
3,44,2,6.53,1,1,33.332727272727276,2,0
3,37,1,3.47,0,1,32.79810810810811,0,1
2,27,1,2.8,1,1,39.70148148148149,0,1
4,22,1,8.52,0,0,42.01590909090909,2,1
0,78,2,11.02,1,1,24.222948717948718,1,3
0,93,0,2.22,1,1,20.700645161290325,0,3
4,22,0,9.58,1,1,45.517272727272726,2,1
2,81,2,12.22,0,0,16.924814814814816,1,3
3,83,0,0.97,1,0,19.83457831325301,3,3
5,20,1,4.51,0,1,52.1665,0,2
1,80,0,4.7,0,0,19.246625,0,3
0,25,0,14.71,1,0,45.0752,1,1
3,61,2,11.23,1,1,23.01967213114754,1,3
5,20,1,6.51,0,1,40.561,2,2
0,44,0,10.95,0,0,26.139545454545456,1,0
3,85,1,4.88,1,1,19.114941176470587,0,3
1,28,1,4.01,1,1,36.88107142857143,0,1
4,18,0,1.72,0,1,62.144999999999996,3,2
1,47,2,0.69,1,1,34.55297872340426,3,0
2,52,1,14.86,0,1,18.88769230769231,1,0
5,39,2,12.34,1,1,35.64230769230769,1,1
3,80,2,5.76,1,1,22.032249999999998,2,3
4,17,1,6.76,0,0,55.9964705882353,2,2
2,53,2,13.97,0,1,22.286037735849057,1,0
3,52,0,11.89,1,1,25.160384615384615,1,0
5,18,1,5.66,0,1,59.48388888888889,2,2
1,21,2,13.26,1,0,68.3742857142857,1,1
4,82,0,14.53,1,1,18.541219512195124,1,3
1,54,1,8.94,1,1,22.90092592592593,2,0
1,55,2,8.95,0,0,26.218545454545453,2,0
5,40,2,4.94,1,0,31.353500000000004,0,1
3,70,1,8.04,0,1,18.239571428571427,2,3
1,75,0,2.67,0,1,19.253733333333333,0,3
2,36,0,8.14,0,0,27.41111111111111,2,1
4,65,1,6.11,0,1,21.420769230769228,2,3
0,65,1,4.44,0,1,21.74446153846154,0,3
4,20,2,0.8,0,1,65.437,3,2
0,76,0,8.62,1,1,21.73342105263158,2,3
2,29,2,7.08,0,1,42.89793103448276,2,1
0,59,1,9.28,0,0,22.593898305084746,2,0
0,34,2,13.3,1,1,39.484117647058824,1,1
3,19,2,13.11,0,1,53.630526315789474,1,2
0,50,1,1.57,1,1,30.0202,3,0
2,90,1,4.38,0,1,15.339888888888888,0,3
2,96,2,0.73,0,1,20.318229166666665,3,3
4,61,1,13.22,0,1,20.27770491803279,1,3
1,78,0,13.99,1,1,19.39128205128205,1,3
5,28,1,14.15,0,1,33.51571428571429,1,1
2,17,0,14.35,0,0,51.612941176470585,1,2
0,46,2,13.18,0,0,28.079782608695655,1,0
1,89,1,4.63,1,0,18.964606741573032,0,3
0,77,2,5.64,0,1,22.536883116883114,2,3
0,76,1,6.42,0,1,21.360657894736843,2,3
1,34,2,9.08,1,0,41.819411764705876,2,1
2,47,2,6.93,1,0,24.721063829787237,2,0
0,73,0,6.34,0,0,20.291095890410958,2,3
2,75,2,14.0,0,1,19.7172,1,3
1,81,1,6.02,0,0,16.291851851851852,2,3
4,26,1,12.24,1,0,36.628076923076925,1,1
3,80,0,6.49,1,1,20.648125,2,3
0,64,2,0.93,1,0,28.95828125,3,3
2,45,2,1.44,0,1,29.035555555555554,3,0
3,50,1,14.26,1,0,25.3932,1,0
5,58,2,6.03,1,1,27.075517241379313,2,0
3,15,0,7.36,1,1,78.98666666666666,2,2
0,72,2,8.64,1,1,24.965,2,3
4,80,2,2.32,0,1,22.06075,0,3
4,49,1,1.34,0,1,26.948979591836736,3,0
4,38,2,6.26,1,1,33.99921052631579,2,1
2,95,0,1.88,1,1,18.19242105263158,3,3
5,40,0,12.08,0,1,29.8625,1,1
4,61,2,0.53,1,0,27.694590163934425,3,3
1,77,1,10.24,1,1,19.202077922077923,1,3
4,98,2,4.22,0,1,17.691836734693876,0,3
0,86,2,1.93,1,1,23.65593023255814,3,3
3,70,2,7.96,1,1,22.566285714285716,2,3
0,34,1,11.68,0,0,32.96088235294118,1,1
0,62,2,1.61,0,1,28.050161290322578,3,3
2,61,1,7.72,0,0,18.47360655737705,2,3
0,20,0,0.71,1,1,76.5085,3,2
0,65,0,5.16,0,1,23.476,2,3
3,39,0,13.64,1,1,31.216923076923077,1,1
3,21,2,9.06,1,1,53.12809523809524,2,1
5,69,0,13.82,1,1,22.620579710144927,1,3
2,27,2,9.18,0,1,44.00333333333333,2,1
0,17,2,2.59,1,0,80.83764705882353,0,2
3,33,1,12.53,1,1,36.44181818181818,1,1
3,67,1,5.02,0,1,20.063582089552238,2,3
0,63,1,12.74,1,0,24.54,1,3
2,29,0,12.76,1,1,37.199999999999996,1,1
2,53,2,4.74,1,1,25.732264150943394,0,0
2,19,1,1.58,1,0,54.095263157894735,3,2
3,24,2,12.46,1,0,45.557500000000005,1,1
4,46,2,7.85,0,1,33.03804347826087,2,0
3,50,2,6.16,0,0,25.621399999999998,2,0
2,17,2,2.27,1,0,66.49941176470588,0,2
5,45,0,11.77,0,1,27.534222222222223,1,0
4,67,0,7.37,0,1,21.31089552238806,2,3
0,39,1,2.01,0,1,30.206410256410255,0,1
4,47,0,8.2,1,1,29.519148936170215,2,0
2,57,1,11.94,0,1,21.263684210526314,1,0
2,53,2,6.61,1,1,26.468490566037733,2,0
4,23,0,11.43,1,1,52.77826086956522,1,1
3,93,1,11.17,0,1,16.578602150537634,1,3
2,47,1,1.17,1,1,21.88148936170213,3,0
0,84,1,7.03,0,0,20.688095238095237,2,3
3,54,1,4.4,1,1,25.815,0,0
5,54,1,5.29,0,0,23.92648148148148,2,0
5,80,0,12.39,1,0,18.23425,1,3
4,48,0,6.36,1,1,24.34375,2,0
3,79,1,7.27,0,0,18.46987341772152,2,3
5,65,0,0.76,0,0,22.06153846153846,3,3
5,76,1,2.97,1,1,18.84118421052632,0,3
0,60,0,9.26,0,0,23.236666666666668,2,0
3,49,2,0.94,1,0,28.88530612244898,3,0
5,36,0,10.96,0,1,32.77472222222222,1,1
4,38,1,5.75,0,1,29.04421052631579,2,1
1,74,0,5.04,1,1,20.14283783783784,2,3
1,38,0,9.52,1,1,31.85342105263158,2,1
5,75,0,6.73,0,0,19.154933333333332,2,3
1,29,1,8.82,1,1,41.90931034482758,2,1
5,59,1,6.81,1,1,20.914237288135595,2,0
0,65,2,12.48,1,1,24.82646153846154,1,3
0,91,0,13.25,1,0,20.933076923076925,1,3
0,67,1,14.56,0,1,20.334179104477613,1,3
0,58,1,8.67,0,1,24.651379310344826,2,0
2,94,1,3.0,0,1,15.3,0,3
3,46,1,12.9,0,1,24.317173913043476,1,0
1,99,1,3.79,0,0,15.854040404040404,0,3
